date,open,high,low,close,volume,rank
2018-01-02,4.96,5.15,4.95,5.08,26210479,0.9969199178644764
2018-01-03,5.07,5.13,5.06,5.1,23507422,0.9948665297741273
2018-01-04,5.1,5.11,5.04,5.1,18235848,0.9917864476386037
2018-01-05,5.1,5.61,5.08,5.58,132477658,0.9548254620123203
2018-01-08,5.61,6.15,5.57,6.15,203514306,0.7145790554414785
2018-01-09,6.23,6.66,6.18,6.37,248320991,0.09958932238193019
2018-01-10,6.47,6.66,6.32,6.65,184587108,0.03798767967145791
2018-01-11,6.55,6.56,6.26,6.38,155161573,0.02772073921971253
2018-01-12,6.32,6.57,6.2,6.31,140078964,0.02361396303901437
2018-01-15,6.3,6.36,6.09,6.17,99767316,0.03285420944558522
2018-01-16,6.14,6.62,6.03,6.54,186586764,0.04106776180698152
2018-01-17,6.5,6.5,5.89,5.93,171983421,0.05544147843942505
2018-01-18,5.92,5.99,5.82,5.93,73968174,0.07905544147843943
2018-01-19,5.93,6.13,5.88,5.89,86518125,0.1016427104722793
2018-01-22,5.91,5.95,5.82,5.94,53433808,0.1724845995893224
2018-01-23,5.97,6.1,5.9,6.0,86615901,0.2402464065708419
2018-01-24,6.02,6.08,5.86,5.88,73732248,0.5318275154004107
2018-01-25,5.91,5.93,5.75,5.82,53415370,0.7351129363449692
2018-01-26,5.81,6.06,5.8,6.01,82139405,0.7094455852156057
2018-01-29,5.99,6.15,5.9,5.96,59856735,0.6262833675564682
2018-01-30,5.94,6.08,5.91,5.97,43161323,0.3726899383983573
2018-01-31,5.95,6.0,5.7,5.86,51227579,0.3049281314168378
2018-02-01,5.82,5.96,5.66,5.69,51030209,0.4455852156057495
2018-02-02,5.61,5.65,5.35,5.61,52595859,0.5544147843942505
2018-02-05,5.5,5.76,5.47,5.75,39594355,0.5420944558521561
2018-02-06,5.6,5.7,5.35,5.39,48441922,0.6694045174537988
2018-02-07,5.53,5.57,5.14,5.29,57884594,0.635523613963039
2018-02-08,5.27,5.37,5.23,5.3,28230938,0.555441478439425
2018-02-09,5.13,5.19,4.93,5.0,45340370,0.4989733059548255
2018-02-12,5.02,5.1,4.95,5.06,25427456,0.4517453798767967
2018-02-13,5.11,5.21,5.06,5.09,35544532,0.4938398357289528
2018-02-14,5.09,5.11,5.02,5.08,19411832,0.5513347022587269
2018-02-22,5.19,5.36,5.19,5.28,40428306,0.4537987679671458
2018-02-23,5.25,5.37,5.23,5.3,31928497,0.4117043121149898
2018-02-26,5.34,5.35,5.19,5.34,40219249,0.4158110882956879
2018-02-27,5.31,5.31,5.24,5.27,24853366,0.4753593429158111
2018-02-28,5.22,5.36,5.19,5.3,34969777,0.4496919917864476
2018-03-01,5.26,5.3,5.21,5.23,30772352,0.4794661190965092
2018-03-02,5.19,5.22,5.11,5.14,24779501,0.5082135523613963
2018-03-05,5.15,5.19,5.11,5.11,17339988,0.5698151950718686
2018-03-06,5.14,5.26,5.08,5.26,35286469,0.6036960985626283
2018-03-07,5.24,5.25,5.15,5.17,24984533,0.6232032854209446
2018-03-08,5.17,5.27,5.16,5.25,25666351,0.7176591375770021
2018-03-09,5.25,5.27,5.19,5.24,23512669,0.6427104722792608
2018-03-12,5.26,5.27,5.18,5.24,25645003,0.5852156057494866
2018-03-13,5.23,5.31,5.21,5.29,30358550,0.4240246406570842
2018-03-14,5.26,5.29,5.22,5.25,19167903,0.3531827515400411
2018-03-15,5.24,5.25,5.18,5.22,14922571,0.2587268993839836
2018-03-16,5.22,5.25,5.16,5.17,18113799,0.2371663244353183
2018-03-19,5.18,5.19,5.07,5.09,22368010,0.2659137577002054
2018-03-20,5.06,5.09,5.01,5.08,14462864,0.2689938398357289
2018-03-21,5.08,5.14,5.06,5.08,11685858,0.2936344969199179
2018-03-22,5.08,5.13,5.06,5.12,12277279,0.2412731006160164
2018-03-23,4.96,4.98,4.7,4.83,45104518,0.3501026694045175
2018-03-26,4.78,4.87,4.74,4.86,15715438,0.4342915811088296
2018-03-27,4.9,4.95,4.89,4.92,16029223,0.5256673511293635
2018-03-28,4.9,4.97,4.86,4.92,16692945,0.5841889117043121
2018-03-29,4.91,5.11,4.89,5.07,33105848,0.6919917864476386
2018-03-30,5.08,5.08,4.99,5.01,21315788,0.771047227926078
2018-04-02,5.03,5.12,5.02,5.08,24516130,0.7720739219712526
2018-04-03,5.02,5.07,5.0,5.03,14703664,0.7638603696098563
2018-04-04,5.05,5.07,4.96,4.98,15068862,0.7464065708418891
2018-04-09,4.97,4.99,4.9,4.94,16559189,0.7535934291581109
2018-04-10,4.94,5.05,4.94,5.04,19091491,0.7320328542094456
2018-04-11,5.05,5.18,5.03,5.12,31262389,0.7125256673511293
2018-04-12,5.09,5.14,5.07,5.08,13912767,0.7207392197125256
2018-04-13,5.1,5.14,5.04,5.05,12618498,0.6960985626283368
2018-04-16,5.04,5.07,4.86,4.92,22019333,0.6940451745379876
2018-04-17,4.93,4.95,4.86,4.88,13373240,0.6817248459958932
2018-04-18,4.93,4.93,4.85,4.9,15752253,0.6704312114989733
2018-04-19,4.89,4.91,4.87,4.89,12117713,0.7361396303901437
2018-04-20,4.87,4.89,4.78,4.8,13685869,0.728952772073922
2018-04-23,4.8,4.82,4.74,4.81,8501230,0.7453798767967146
2018-04-24,4.83,4.96,4.81,4.93,18121964,0.7166324435318275
2018-04-25,4.9,4.9,4.86,4.88,11195708,0.686858316221766
